B,n,snr,icc,rho,method,j,sd,bias,mse,coverage,n_rep_used,mean_Nj,min_Nj
30,1000,0.3,0.2,0.6,naive,13,0.10939185244892836,0.17799250265978395,0.043588075498390264,0.64,200,449.795,406.0
30,1000,0.3,0.2,0.6,naive,14,0.11550560087310517,0.19468467614136792,0.051176959238161096,0.605,200,420.705,381.0
30,1000,0.3,0.2,0.6,naive,15,0.11137266204090877,0.18716048891685713,0.04737089911242509,0.69,200,393.97,354.0
30,1000,0.3,0.2,0.6,naive,16,0.10123827110506138,0.2060864651129158,0.05266957270139725,0.625,200,368.205,333.0
30,1000,0.3,0.2,0.6,naive,17,0.11404493784556587,0.20335977529655838,0.0542964148176247,0.62,200,344.54,308.0
30,1000,0.3,0.2,0.6,naive,18,0.11511253026140386,0.21328083979087098,0.05867335677196588,0.635,200,322.595,284.0
30,1000,0.3,0.2,0.6,naive,19,0.1278016564136758,0.2296437949381941,0.06898786961878418,0.59,200,302.135,267.0
30,1000,0.3,0.2,0.6,naive,20,0.13649818761674704,0.22622990257223669,0.06971856526438708,0.635,200,282.81,254.0
30,1000,0.3,0.2,0.6,naive,21,0.12813916152199029,0.23240731767824704,0.07035070780237856,0.575,200,264.75,234.0
30,1000,0.3,0.2,0.6,naive,22,0.1340615852872205,0.2346783814693829,0.07295658883556327,0.63,200,247.18,212.0
30,1000,0.3,0.2,0.6,naive,23,0.13567094260487297,0.24381829859879936,0.07776193437557154,0.615,200,231.12,194.0
30,1000,0.3,0.2,0.6,naive,24,0.1497939360691638,0.25418129913333126,0.08693416499578528,0.59,200,216.4,174.0
30,1000,0.3,0.2,0.6,naive,25,0.14293337310899784,0.24395167025323083,0.07984021682191549,0.675,200,202.5,167.0
30,1000,0.3,0.2,0.6,naive,26,0.15280395189784327,0.25134795130060605,0.08640809510003225,0.625,200,189.42,156.0
30,1000,0.3,0.2,0.6,naive,27,0.1537966642976433,0.2516547223282588,0.08686524614944961,0.645,200,177.225,144.0
30,1000,0.3,0.2,0.6,naive,28,0.16199890979851286,0.2523719617790134,0.08980403563421496,0.68,200,165.925,131.0
30,1000,0.3,0.2,0.6,naive,29,0.16240464198941248,0.2625735456312303,0.09518825826636645,0.695,200,155.28,118.0
30,1000,0.3,0.2,0.6,naive,30,0.16635438583174805,0.279076102039058,0.10541888350634553,0.61,200,145.29,112.0
30,1000,0.3,0.2,0.8,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
30,1000,0.3,0.2,0.8,ours,2,0.03688474700282987,-0.0013803757868604588,0.001355587575968404,0.94,200,935.49,917.0
30,1000,0.3,0.2,0.8,ours,3,0.049519352677602956,-0.006851315838579655,0.0024868459868807517,0.945,200,874.845,842.0
30,1000,0.3,0.2,0.8,ours,4,0.058701656713154984,-0.004197469217795682,0.0034462738261990897,0.95,200,818.36,785.0
30,1000,0.3,0.2,0.8,ours,5,0.0691845100195466,-0.002110389765462285,0.004767017689473689,0.93,200,765.375,718.0
30,1000,0.3,0.2,0.8,ours,6,0.07767842697257533,-0.0016864247017768985,0.006006612355123813,0.925,200,715.645,667.0
30,1000,0.3,0.2,0.8,ours,7,0.07499407601965082,-0.005782424801275804,0.005629427317433369,0.945,200,670.355,620.0
30,1000,0.3,0.2,0.8,ours,8,0.08151464702497563,-0.0032197515924152187,0.006621781291525195,0.94,200,626.46,578.0
30,1000,0.3,0.2,0.8,ours,9,0.08595985435225725,-0.0014985426348061096,0.007354396707488304,0.94,200,585.01,527.0
30,1000,0.3,0.2,0.8,ours,10,0.0899427742899283,-0.002697468886380817,0.008056530472127135,0.955,200,546.74,493.0
